index,label
533,1
534,0
535,1
536,0
537,1
538,0
539,0
540,0
541,1
542,1
543,0
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,1
552,0
553,0
554,0
555,0
556,1
557,0
558,0
559,0
560,1
561,1
562,0
563,1
564,0
565,1
566,0
567,0
568,1
569,0
570,0
571,0
572,0
573,0
574,1
575,1
576,0
577,1
578,1
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,1
587,1
588,0
589,1
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,1
599,1
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,1
609,0
610,1
611,1
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,1
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,1
628,1
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,1
638,1
639,0
640,0
641,1
642,1
643,1
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,1
654,1
655,1
656,1
657,0
658,0
659,1
660,1
661,0
662,0
663,0
664,0
665,1
666,0
667,0
668,1
669,1
670,0
671,0
672,0
673,0
674,0
675,1
676,0
677,0
678,1
679,1
680,0
681,0
682,0
683,1
684,1
685,1
686,1
687,1
688,1
689,0
690,0
691,0
692,1
693,0
694,0
695,1
696,1
697,0
698,1
699,1
700,1
701,1
702,0
703,0
704,1
705,1
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,1
715,0
716,1
717,0
718,0
719,0
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,1
732,0
733,0
734,1
735,1
736,1
737,0
738,1
739,1
740,1
741,0
742,0
743,1
744,0
745,1
746,0
747,0
748,0
749,0
750,1
751,0
752,0
753,1
754,0
755,1
756,0
757,0
758,0
759,1
760,1
761,1
762,1
763,1
764,0
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,1
773,0
774,1
775,0
776,0
777,1
778,0
779,0
780,1
781,1
782,0
783,0
784,0
785,0
786,1
787,1
788,0
789,1
790,0
791,0
792,0
793,1
794,0
795,1
796,0
797,0
798,1
799,0
800,1
801,1
802,0
803,1
804,0
805,0
806,0
807,1
808,0
809,0
810,0
811,1
812,0
813,0
814,0
815,1
816,0
817,0
818,1
819,0
820,0
821,1
822,0
823,0
824,0
825,1
826,0
827,0
828,1
829,0
830,0
831,1
832,1
833,1
834,0
835,0
836,0
837,1
838,0
839,0
840,1
841,1
842,1
843,0
844,0
845,0
846,0
847,1
848,0
849,1
850,0
851,1
852,0
853,0
854,1
855,0
856,1
857,0
858,1
859,1
860,0
861,1
862,1
863,1
864,0
865,0
866,0
867,0
868,0
869,0
870,1
871,0
872,1
873,0
874,0
875,1
876,0
877,1
878,1
879,1
880,1
881,0
882,0
883,0
884,1
885,0
886,0
887,1
888,0
889,0
890,0
891,1
892,0
893,0
894,0
895,0
896,0
897,1
898,0
899,1
900,0
901,1
902,1
903,1
904,1
905,0
906,1
907,1
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,1
918,1
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,1
928,1
929,0
930,0
931,0
932,0
933,0
934,0
935,1
936,0
937,1
938,0
939,0
940,0
941,0
942,1
943,0
944,0
945,0
946,1
947,1
948,1
949,0
950,1
951,1
952,0
953,0
954,0
955,1
956,0
957,1
958,0
959,1
960,0
961,0
962,0
963,0
964,1
965,0
966,0
967,0
968,0
969,1
970,0
971,0
972,0
973,1
974,0
975,1
976,1
977,0
978,0
979,0
980,1
981,0
982,0
983,0
984,0
985,0
986,0
987,1
988,0
989,1
990,0
991,0
992,0
993,1
994,1
995,1
996,0
997,0
998,0
999,1
1000,1
1001,1
1002,0
1003,1
1004,0
1005,1
1006,0
1007,0
1008,0
1009,0
1010,1
1011,1
1012,0
1013,0
